Test Name,Chapter,Question ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Section Reference
"Chapter 8: Accuracy Landing - Regional Test",AL,14,"What is the maximum aircraft speed at time of exit?","80 knots","87 knots","95 knots","100 knots","87 knots","8.1.12.2"
"Chapter 8: Accuracy Landing - Regional Test",AL,15,"What happens if the event is interrupted for 60 minutes or more?","Competition cancelled","WDI dropped","Rejumps for all","New draw required","WDI dropped","8.1.4.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,16,"From what altitude is the Wind Drift Indicator dropped?","2,000 feet","2,500 feet","3,000 feet","3,500 feet","2,500 feet","8.1.4.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,17,"The large wind indicator must respond to winds of at least what speed?","1 m/s","2 m/s","3 m/s","4 m/s","2 m/s","8.1.10.1.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,18,"How far from the target center is the large wind indicator positioned?","30 meters","40 meters","50 meters","60 meters","50 meters","8.1.10.1.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,19,"What is the minimum horizontal diameter of footwear touching the target?","0.5 cm","1 cm","1.5 cm","2 cm","1 cm","8.1.11.2.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,20,"At what ground wind speed is the event automatically interrupted?","7 m/s","8 m/s","9 m/s","10 m/s","9 m/s","8.1.7.3.4"
"Chapter 8: Accuracy Landing - Regional Test",AL,21,"How long must scoring stop when wind exceeds the limit?","15 seconds","30 seconds","45 seconds","60 seconds","30 seconds","8.1.7.3.2"
"Chapter 8: Accuracy Landing - Regional Test",AL,22,"Teams landing with fewer than four members receive what score for each missing member?","10 cm","15 cm","16 cm","20 cm","16 cm","8.1.8.2.6"
"Chapter 8: Accuracy Landing - Regional Test",AL,23,"What is the minimum number of rounds to constitute a meet for Individual Accuracy?","One","Two","Three","Four","One","8.1.6.1"
"Chapter 8: Accuracy Landing - Regional Test",AL,24,"Within how many meters of the target is the wind direction streamer placed?","10 meters","15 meters","20 meters","25 meters","20 meters","8.1.10.1.2"
"Chapter 8: Accuracy Landing - Regional Test",AL,25,"What is the minimum height above ground for the wind-speed measuring device?","4 meters","5 meters","6 meters","8 meters","6 meters","8.1.10.2.2"
"Chapter 8: Accuracy Landing - National Test",AL,1,"How much may the Meet Director lower Individual Accuracy exit altitude to negotiate weather?","200 feet","300 feet","400 feet","500 feet","300 feet","8.1.5.3"
"Chapter 8: Accuracy Landing - National Test",AL,2,"What is the lowest altitude Team Accuracy may be lowered to for weather?","2,500 feet","2,800 feet","3,000 feet","3,200 feet","2,800 feet","8.1.5.4.1"
"Chapter 8: Accuracy Landing - National Test",AL,3,"For how long is the target covered when ground wind exceeds 9 m/s?","3 minutes","5 minutes","7 minutes","10 minutes","5 minutes","8.1.7.3.4"
"Chapter 8: Accuracy Landing - National Test",AL,4,"What is the maximum change in wind direction that triggers the limit when wind exceeds 3 m/s?","45 degrees","60 degrees","90 degrees","120 degrees","90 degrees","8.1.7.5"
"Chapter 8: Accuracy Landing - National Test",AL,5,"A competitor landing within how many seconds after wind change is offered a rejump?","15 seconds","30 seconds","45 seconds","60 seconds","30 seconds","8.1.7.5.1"
"Chapter 8: Accuracy Landing - National Test",AL,6,"During final approach, only principal judges are allowed within how many meters?","3 meters","5 meters","7 meters","10 meters","5 meters","8.1.9.4.1"
"Chapter 8: Accuracy Landing - National Test",AL,7,"The angle of footwear sole touching the target must be within what tolerance of 90 degrees?","10 degrees","15 degrees","20 degrees","25 degrees","15 degrees","8.1.11.2.1"
"Chapter 8: Accuracy Landing - National Test",AL,8,"Who determines an erroneous AMD reading?","Chief Judge alone","Event Judge alone","Simple majority of principal judges","Unanimous judges","Simple majority of principal judges","8.1.13.1.1"
"Chapter 8: Accuracy Landing - National Test",AL,9,"A competitor with main canopy malfunction must signal by what method?","Waving arms","Arms and legs apart","Spinning","Pulling reserve immediately","Arms and legs apart","8.1.13.1.2"
"Chapter 8: Accuracy Landing - National Test",AL,10,"In Team Accuracy rounds 1-8, what is the jumping order?","Teams then individuals","Individuals then teams","Alternating","Random draw","Individuals then teams","8.1.5.1"
"Chapter 8: Accuracy Landing - National Test",AL,11,"Rounds nine and ten of Accuracy are in what order?","Team only","Individual, reverse order of standing","Individual, random order","Team, reverse order","Individual, reverse order of standing","8.1.5.2"
"Chapter 8: Accuracy Landing - National Test",AL,12,"How many jumpers may exit per pass in Individual Accuracy?","One only","One or two","Up to three","Up to four","One or two","8.1.5.3"
"Chapter 8: Accuracy Landing - National Test",AL,13,"Who is responsible for selecting the proper exit point?","Pilot","Chief Judge","Competitor/team","Meet Director","Competitor/team","8.1.5.5"
"Chapter 8: Accuracy Landing - National Test",AL,14,"What happens to competitors waved off during halted jumping?","Score counts","16 cm score","Must rejump","Disqualified","Must rejump","8.1.7.3.4"
"Chapter 8: Accuracy Landing - National Test",AL,15,"The AMD must be capable of measuring to what minimum distance?","10 cm","15 cm","16 cm","20 cm","16 cm","8.1.10.3.1"
"Chapter 8: Accuracy Landing - National Test",AL,16,"A competitor landing 15 seconds before wind exceeds limit and not scoring dead center is offered what?","Score stands","Rejump","16 cm score","Disqualification","Rejump","8.1.7.3.3"
"Chapter 8: Accuracy Landing - National Test",AL,17,"What must happen before the event continues after interruption due to winds aloft?","5-minute wait","New briefing","New WDI dropped","Equipment check","New WDI dropped","8.1.9.9.3"
"Chapter 8: Accuracy Landing - National Test",AL,18,"Substitutes to team composition are permitted after competition begins.","True","False","Only with CJ approval","Only for injury","False","8.1.3.2.2"
"Chapter 8: Accuracy Landing - National Test",AL,19,"What device must be used to alert judges of a wind hold?","Radio","Flag","Audible device","Light signal","Audible device","8.1.7.4"
"Chapter 8: Accuracy Landing - National Test",AL,20,"If canopy condition resulted from faulty equipment or improper judgment, what happens?","Rejump awarded","No rejump awarded","Half score","Disqualification","No rejump awarded","8.1.13.1.2"
"Chapter 8: Accuracy Landing - National Test",AL,21,"For canopy conflict with own teammate, the team receives what?","Rejump","No rejump, score counts","16 cm for affected","Disqualification","No rejump, score counts","8.1.13.2.2"
"Chapter 8: Accuracy Landing - National Test",AL,22,"If AMD is defective or not reset and first contact was on it, what is offered?","Score stands","Rejump","16 cm","Dead center","Rejump","8.1.13.3"
"Chapter 8: Accuracy Landing - National Test",AL,23,"In case of tie in top three places, how many tie-break rounds maximum?","One","Two","Three","Unlimited","Two","8.2.2.3"
"Chapter 8: Accuracy Landing - National Test",AL,24,"Winds aloft refers to winds occurring above what?","500 feet","1000 feet","Wind-speed device altitude","Exit altitude","Wind-speed device altitude","8.A.1.2.8"
"Chapter 8: Accuracy Landing - National Test",AL,25,"The control pad when struck at any point scores what?","10 cm","15 cm","16 cm","Maximum","16 cm","8.A.1.2.3"
"Chapter 9: Formation Skydiving - Regional Test",FS,1,"What is the exit altitude for 4-Way Formation Skydiving?","9,500 feet","10,500 feet","11,500 feet","13,000 feet","10,500 feet","9.5.2.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,2,"What is the working time for 4-Way FS?","30 seconds","35 seconds","40 seconds","50 seconds","35 seconds","9.5.2.3"
"Chapter 9: Formation Skydiving - Regional Test",FS,3,"What is the exit altitude for 8-Way FS?","10,500 feet","11,000 feet","12,000 feet","13,000 feet","13,000 feet","9.5.3.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,4,"What is the working time for 8-Way FS?","35 seconds","40 seconds","45 seconds","50 seconds","50 seconds","9.5.3.3"
"Chapter 9: Formation Skydiving - Regional Test",FS,5,"How many points are deducted for each omission?","One","Two","Three","Four","Three","9.7.1.2"
"Chapter 9: Formation Skydiving - Regional Test",FS,6,"What is the minimum score for any round?","Negative three","Negative one","Zero","One","Zero","9.7.1.4"
"Chapter 9: Formation Skydiving - Regional Test",FS,7,"What is the maximum scheduled number of rounds for 4-Way and 8-Way FS?","Six","Eight","Ten","Twelve","Ten","9.4.3.3"
"Chapter 9: Formation Skydiving - Regional Test",FS,8,"What is the exit altitude for 2-Way MFS and 4-Way VFS?","10,500 feet","11,000 feet","12,000 feet","13,000 feet","13,000 feet","9.5.1.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,9,"What is the working time for 2-Way MFS and 4-Way VFS?","30 seconds","35 seconds","40 seconds","50 seconds","35 seconds","9.5.1.3"
"Chapter 9: Formation Skydiving - Regional Test",FS,10,"How many members minimum must remain on a 4-Way team to continue competition?","Two","Three","Four","Five","Four","9.3.2.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,11,"How many members minimum must remain on an 8-Way team?","Six","Seven","Eight","Nine","Eight","9.3.3.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,12,"What is the exit altitude for 16-Way FS?","11,000 feet","12,000 feet","13,000 feet","14,000 feet","13,000 feet","9.5.5.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,13,"What is the working time for 16-Way FS?","35 seconds","40 seconds","45 seconds","50 seconds","50 seconds","9.5.5.3"
"Chapter 9: Formation Skydiving - Regional Test",FS,14,"What is the exit altitude for 10-Way FS?","10,000 feet","11,000 feet","12,000 feet","13,000 feet","11,000 feet","9.5.4.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,15,"What is the total working time for 10-Way FS?","35 seconds","40 seconds","45 seconds","50 seconds","40 seconds","9.5.4.4"
"Chapter 9: Formation Skydiving - Regional Test",FS,16,"10-Way formations must be held for a minimum of how many seconds?","Three","Four","Five","Six","Five","9.5.4.3"
"Chapter 9: Formation Skydiving - Regional Test",FS,17,"How much advance notice of draw results must teams receive before competition starts?","One hour","Two hours","Three hours","Four hours","Two hours","9.4.1.2"
"Chapter 9: Formation Skydiving - Regional Test",FS,18,"What penalty percentage is deducted if judges cannot determine start of working time?","10%","15%","20%","25%","20%","9.5.2.2.2"
"Chapter 9: Formation Skydiving - Regional Test",FS,19,"How many members maximum can a 4-Way team have including videographer?","Four","Five","Six","Seven","Six","9.3.2.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,20,"How many members maximum can an 8-Way team have including videographer?","Nine","Ten","Eleven","Twelve","Eleven","9.3.3.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,21,"What is the maximum scheduled number of rounds for 16-Way and 10-Way?","Four","Six","Eight","Ten","Six","9.4.3.4"
"Chapter 9: Formation Skydiving - Regional Test",FS,22,"4-Way exit altitude may be lowered to what for weather without working time change?","8,500 feet","9,000 feet","9,500 feet","10,000 feet","9,500 feet","9.5.2.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,23,"A grip consists of contact between what and another jumper?","Any body part","Palm side of hand/fingers","Fist","Wrist","Palm side of hand/fingers","9.8.2"
"Chapter 9: Formation Skydiving - Regional Test",FS,24,"For 10-Way, where must the videographer record an image before team exit?","Target","Aircraft door","Line on floor","Altimeter","Line on floor","9.6.2.1.1"
"Chapter 9: Formation Skydiving - Regional Test",FS,25,"The videographer on an all-women 4-Way Open team may be what?","Female only","Male only","Either sex","Must be rated judge","Either sex","9.3.2.2"
"Chapter 9: Formation Skydiving - National Test",FS,1,"When 4-Way exit altitude is lowered for weather, what is the reduced working time?","15 seconds","20 seconds","25 seconds","30 seconds","20 seconds","9.5.6.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,2,"What is the reduced exit altitude for 4-Way FS in bad weather?","6,500 feet","7,000 feet","7,500 feet","8,000 feet","7,500 feet","9.5.6.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,3,"What is the reduced working time for 8-Way at lower altitude?","25 seconds","30 seconds","35 seconds","40 seconds","30 seconds","9.5.6.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,4,"What is the reduced exit altitude for 8-Way in weather?","8,000 feet","8,500 feet","9,000 feet","10,000 feet","9,000 feet","9.5.6.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,5,"What is the reduced working time for 16-Way at lower altitude?","25 seconds","30 seconds","35 seconds","40 seconds","30 seconds","9.5.6.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,6,"How many gold medalists from that class are allowed on Advanced/Intermediate 4-way teams?","None","One","Two","Three","One","9.3"
"Chapter 9: Formation Skydiving - National Test",FS,7,"How many gold medalists are allowed on Advanced/Intermediate 8-way teams?","Two","Three","Four","Five","Four","9.3"
"Chapter 9: Formation Skydiving - National Test",FS,8,"For how many prior calendar years does the medal restriction apply?","Three","Four","Five","Six","Five","9.3"
"Chapter 9: Formation Skydiving - National Test",FS,9,"In 4-Way VFS Advanced draw, which blocks are excluded?","1,2,3","5,6,10,15,19","All blocks included","Only randoms used","5,6,10,15,19","9.4.2.1.4"
"Chapter 9: Formation Skydiving - National Test",FS,10,"What round is assigned formation 8 (Star) in 10-Way?","Round 1","Round 5","Round 6","Tie-break","Round 6","9.4.2.1.9"
"Chapter 9: Formation Skydiving - National Test",FS,11,"In 10-Way, each team member must present what before formation completion?","Grip check","Individual separation","Wave off","Track","Grip check","9.6.2.2"
"Chapter 9: Formation Skydiving - National Test",FS,12,"How many members minimum must remain on a 16-Way team?","Thirteen","Fourteen","Fifteen","Sixteen","Sixteen","9.3.4.1"
"Chapter 9: Formation Skydiving - National Test",FS,13,"How many members minimum must remain on a 10-Way team?","Eight","Nine","Ten","Eleven","Ten","9.3.5.1"
"Chapter 9: Formation Skydiving - National Test",FS,14,"If both inter and second formation in a block are omitted, how many omissions count?","Zero","One","Two","Three","One","9.7.1.2"
"Chapter 9: Formation Skydiving - National Test",FS,15,"If infringement in scoring formation carries into inter, how many infringements count?","Zero","One","Two","Depends on intent","One","9.7.1.3"
"Chapter 9: Formation Skydiving - National Test",FS,16,"Total separation requires all competitors show no contact with what?","Grips only","Arms and grips","Any body part","Equipment","Arms and grips","9.8.9.1"
"Chapter 9: Formation Skydiving - National Test",FS,17,"A foot grip must be on or below what?","Knee","Calf","Anklebone","Toe","Anklebone","9.8.2"
"Chapter 9: Formation Skydiving - National Test",FS,18,"Where possible, Meet Director will schedule rounds when sun is not within how many degrees of zenith?","10 degrees","15 degrees","20 degrees","30 degrees","20 degrees","9.5.1.4"
"Chapter 9: Formation Skydiving - National Test",FS,19,"For 10-Way, what is the maximum score if no clear exit is shown?","30 seconds","35 seconds","40 seconds","DNF","35 seconds","9.5.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,20,"Mirror images of random formations are permitted.","True for all events","False for all events","Only 10-Way","Only 4-Way","True for all events","9.5.4.5"
"Chapter 9: Formation Skydiving - National Test",FS,21,"How many rounds are drawn including tie-breaker?","Scheduled rounds only","Scheduled plus one","Scheduled plus two","Double scheduled","Scheduled plus one","9.4.2.2.4"
"Chapter 9: Formation Skydiving - National Test",FS,22,"What happens if duplicate random/block is drawn within a single round?","Stands","Put back and redraw","Skip that formation","Use alternate","Put back and redraw","9.4.2.2.3"
"Chapter 9: Formation Skydiving - National Test",FS,23,"Reduced exit altitude for 2-Way MFS and 4-Way VFS in weather is what?","8,000 feet","8,500 feet","9,000 feet","10,000 feet","9,000 feet","9.5.6.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,24,"What is the reduced working time for 2-Way MFS and 4-Way VFS at lower altitude?","15 seconds","20 seconds","25 seconds","30 seconds","20 seconds","9.5.6.4.2"
"Chapter 9: Formation Skydiving - National Test",FS,25,"Reduced exit altitude for 10-Way in weather is what?","7,500 feet","8,000 feet","8,500 feet","9,000 feet","8,500 feet","9.5.6.4.2"
"Chapter 10: Canopy Formation - Regional Test",CF,1,"What is the exit altitude for 2-Way Sequential CF?","7,000 feet","8,000 feet","9,000 feet","10,000 feet","8,000 feet","5.3.1"
"Chapter 10: Canopy Formation - Regional Test",CF,2,"What is the exit altitude for 4-Way Rotation CF?","8,000 feet","8,500 feet","9,000 feet","10,000 feet","9,000 feet","5.1.1"
"Chapter 10: Canopy Formation - Regional Test",CF,3,"What is the exit altitude for 4-Way Sequential CF?","8,500 feet","9,000 feet","9,500 feet","10,000 feet","10,000 feet","5.2.1"
"Chapter 10: Canopy Formation - Regional Test",CF,4,"What is the working time for 2-Way Sequential CF?","45 seconds","60 seconds","75 seconds","90 seconds","60 seconds","5.6.3.1"
"Chapter 10: Canopy Formation - Regional Test",CF,5,"What is the working time for 4-Way Rotation CF?","75 seconds","90 seconds","105 seconds","120 seconds","90 seconds","5.6.4.1"
"Chapter 10: Canopy Formation - Regional Test",CF,6,"What is the working time for 4-Way Sequential CF?","90 seconds","105 seconds","120 seconds","135 seconds","120 seconds","5.6.2.1"
"Chapter 10: Canopy Formation - Regional Test",CF,7,"How many rounds maximum are scheduled for 2-Way Sequential?","Six","Eight","Ten","Twelve","Eight","5.8.1"
"Chapter 10: Canopy Formation - Regional Test",CF,8,"How many rounds maximum are scheduled for 4-Way events?","Six","Eight","Ten","Twelve","Eight","5.8.1"
"Chapter 10: Canopy Formation - Regional Test",CF,9,"What is the maximum ground wind speed for CF events?","7 m/s","9 m/s","11 m/s","13 m/s","9 m/s","7.8.1"
"Chapter 10: Canopy Formation - Regional Test",CF,10,"How many points are deducted as penalty for each omission in 4-Way Sequential CF?","One","Two","Three","Four","One","7.3.3.1"
"Chapter 10: Canopy Formation - Regional Test",CF,11,"How many points penalty for omission in 2-Way Sequential CF?","One","Two","Three","Four","Two","7.4.3.1"
"Chapter 10: Canopy Formation - Regional Test",CF,12,"All forms of CF activity must cease by what altitude?","2,000 feet","2,500 feet","3,000 feet","3,500 feet","2,500 feet","5.7.1"
"Chapter 10: Canopy Formation - Regional Test",CF,13,"The Meet Director may disqualify a team for breaching the break-off altitude rule.","True","False","Only with warning","Only at Nationals","True","5.7.2"
"Chapter 10: Canopy Formation - Regional Test",CF,14,"A 2-Way CF team may have up to how many total members?","Two","Three","Four","Five","Four","3.2.1"
"Chapter 10: Canopy Formation - Regional Test",CF,15,"A 4-Way CF team may have up to how many total members?","Four","Five","Six","Seven","Six","3.1.1"
"Chapter 10: Canopy Formation - Regional Test",CF,16,"What constitutes a valid grip in CF?","Any contact","A lines or front risers","Any line contact","Harness contact","A lines or front risers","6.1.2"
"Chapter 10: Canopy Formation - Regional Test",CF,17,"What score is given for a grip taken during rotation that is not part of the sequence?","No penalty","Omission","Point deducted","Infringement","Infringement","6.1.9"
"Chapter 10: Canopy Formation - Regional Test",CF,18,"The CF competition will be judged by air-to-air video.","True","False","Only for 4-Way","Only for 2-Way","True","7.6.1"
"Chapter 10: Canopy Formation - Regional Test",CF,19,"What is the minimum number of members for a 2-Way team to continue?","One","Two","Three (including videographer)","Two plus alternate","Three (including videographer)","3.2.1"
"Chapter 10: Canopy Formation - Regional Test",CF,20,"What is the minimum number of members for a 4-Way team to continue?","Two","Three","Four","Four plus videographer","Four plus videographer","3.1.1"
"Chapter 10: Canopy Formation - Regional Test",CF,21,"In 4-Way Rotation, rotations are made by which competitor?","Any competitor","The top competitor","The bottom competitor","Alternating competitors","The top competitor","2.1.1.1"
"Chapter 10: Canopy Formation - Regional Test",CF,22,"Working time in CF starts when?","First exit","First grip release from first formation","First canopy open","All canopies open","First grip release from first formation","5.6.1"
"Chapter 10: Canopy Formation - Regional Test",CF,23,"How many formations are in each 2-Way Sequential round?","Three","Four","Five","Six","Five","4.2.2.1"
"Chapter 10: Canopy Formation - Regional Test",CF,24,"How many formations are in each 4-Way Sequential round?","Three or four","Four or five","Five or six","Six or seven","Four or five","4.2.1.3"
"Chapter 10: Canopy Formation - Regional Test",CF,25,"Handholds on what are not permitted in CF?","Lines only","Canopy only","Other competitors' bodies","Risers only","Other competitors' bodies","6.1.2"
"Chapter 10: Canopy Formation - National Test",CF,1,"In 4-Way Rotation, a team receives how many points for each correctly completed formation?","One","Two","Three","Four","One","7.2.2"
"Chapter 10: Canopy Formation - National Test",CF,2,"A 4-way plane/stack formation is complete when all grips are taken correctly.","True","False","Only for plane","Only for stack","True","7.2.2"
"Chapter 10: Canopy Formation - National Test",CF,3,"Team members rotating before bottom member takes grip receive credit for that formation.","True","False","Only in Sequential","Only in Rotation","False","7.2.3"
"Chapter 10: Canopy Formation - National Test",CF,4,"The 2-Way CF team is eliminated if cut to how many members including videographer?","One","Two","Two or fewer","Three","Two or fewer","3.2.1"
"Chapter 10: Canopy Formation - National Test",CF,5,"The 4-Way CF team is eliminated if cut to how many members plus videographer?","Two","Three","Three or fewer","Four","Three or fewer","3.1.1"
"Chapter 10: Canopy Formation - National Test",CF,6,"In tied placing for CF, what is the first tie-breaking method?","Tie-break round","Highest single round","Last round score","Co-placing","Tie-break round","8.3.1.1"
"Chapter 10: Canopy Formation - National Test",CF,7,"If tie persists after highest single round comparison, what is used next?","Another round","Highest score from last round backwards","Average score","Co-placing","Highest score from last round backwards","8.3.1.3"
"Chapter 10: Canopy Formation - National Test",CF,8,"A variety or combination of aircraft may be used for CF competition.","True","False","Only single type","Only turbine","True","7.7.1"
"Chapter 10: Canopy Formation - National Test",CF,9,"The team is responsible for providing video evidence for judging purposes.","True","False","Only at Nationals","Only for 4-Way","True","7.1.3.2"
"Chapter 10: Canopy Formation - National Test",CF,10,"In weather, the Meet Director may raise exit altitude to no higher than what?","8,000 feet","9,000 feet","10,000 feet","11,000 feet","10,000 feet","7.8.2"
"Chapter 10: Canopy Formation - National Test",CF,11,"Teams may refuse to jump in rain or turbulent conditions.","True","False","Only with evidence","Only at Nationals","True","7.8.3"
"Chapter 10: Canopy Formation - National Test",CF,12,"If a team aborts a jump twice for the same reason, what happens?","Rejump offered","Warning given","Team doesn't jump that round","Disqualification","Team doesn't jump that round","7.8.5"
"Chapter 10: Canopy Formation - National Test",CF,13,"Practice of formations other than those specified for a jump results in what?","Warning","Point deduction","Disqualification from competition","Rejump","Disqualification from competition","7.1.1.1"
"Chapter 10: Canopy Formation - National Test",CF,14,"CF cannot be practiced or scored using what type of parachute?","Main only","Reserve (auxiliary)","Sport canopy","Student canopy","Reserve (auxiliary)","7.1.2"
"Chapter 10: Canopy Formation - National Test",CF,15,"If a competitor is disqualified for a jump, they receive how many points?","Zero","One","Average","Previous round score","Zero","7.1.4.1"
"Chapter 10: Canopy Formation - National Test",CF,16,"Exit order for CF is determined by whom?","Teams","Meet management","Chief Judge","Draw","Meet management","4.3.1"
"Chapter 10: Canopy Formation - National Test",CF,17,"The minimum number of rounds to constitute a meet in CF is what?","One","Two","Three","Four","One","5.8.1"
"Chapter 10: Canopy Formation - National Test",CF,18,"The result for each team is based on total points from all completed rounds.","True","False","Only top half","Drop lowest","True","8.1.1"
"Chapter 10: Canopy Formation - National Test",CF,19,"4-Way Rotation consists of successive 4-way stack-plane formations made by rotation.","True","False","Only stack","Only plane","True","2.1.1"
"Chapter 10: Canopy Formation - National Test",CF,20,"In 4-Way Rotation, the top competitor drops grips and flies to what position?","Top","Middle","Bottom","Side","Bottom","2.1.1.1"
"Chapter 10: Canopy Formation - National Test",CF,21,"The intermediate formation in 4-Way Rotation is a correctly completed what?","2-way stack","3-way stack-plane","4-way diamond","2-way plane","3-way stack-plane","2.1.1.2"
"Chapter 10: Canopy Formation - National Test",CF,22,"Working time for 4-Way Sequential is how many seconds?","60 seconds","90 seconds","120 seconds","150 seconds","120 seconds","5.6.2.1"
"Chapter 10: Canopy Formation - National Test",CF,23,"A formation not clearly presented is scored as what?","Warning","Infringement","Omission","Rejump required","Infringement","6.1.9.1"
"Chapter 10: Canopy Formation - National Test",CF,24,"Video evidence must show what for scoring to occur?","Aircraft","All canopies","Formation and grips","Target area","Formation and grips","7.1.3.1"
"Chapter 10: Canopy Formation - National Test",CF,25,"All CF activity must cease by what altitude with jumpers separated?","2,000 feet","2,500 feet","3,000 feet","3,500 feet","2,500 feet","5.7.1"
"Chapter 11: Artistic Events - Regional Test",AE,1,"What is the exit altitude for Artistic Events?","10,000 feet","11,000 feet","12,000 feet","13,000 feet","13,000 feet","1.2.3"
"Chapter 11: Artistic Events - Regional Test",AE,2,"Working time for Freestyle Skydiving terminates after how many seconds?","40 seconds","43 seconds","45 seconds","50 seconds","45 seconds","1.1.7.1"
"Chapter 11: Artistic Events - Regional Test",AE,3,"Working time for Freeflying terminates after how many seconds?","40 seconds","43 seconds","45 seconds","50 seconds","43 seconds","1.1.7.2"
"Chapter 11: Artistic Events - Regional Test",AE,4,"Only performances within working time are evaluated by judges.","True","False","Depends on difficulty","Chief Judge decides","True","4.4.1"
"Chapter 11: Artistic Events - Regional Test",AE,5,"A Freestyle team consists of a performer and a videographer.","True","False","Only at Nationals","Three members","True","3.1.1"
"Chapter 11: Artistic Events - Regional Test",AE,6,"A Freefly team consists of how many Team Members?","Two","Three","Four","Five","Three","3.1.4"
"Chapter 11: Artistic Events - Regional Test",AE,7,"How many compulsory rounds are there in a full AE competition?","Two","Three","Four","Five","Two","3.3.2.1"
"Chapter 11: Artistic Events - Regional Test",AE,8,"How many free rounds are there in a full AE competition?","Three","Four","Five","Six","Five","3.3.2.2"
"Chapter 11: Artistic Events - Regional Test",AE,9,"The maximum scheduled number of rounds for Artistic Events is what?","Five","Six","Seven","Eight","Seven","3.3.1"
"Chapter 11: Artistic Events - Regional Test",AE,10,"The round order for AE is F-C-F-F-C-F-F where C means what?","Camera round","Compulsory Routine","Combined round","Championship round","Compulsory Routine","3.3.4"
"Chapter 11: Artistic Events - Regional Test",AE,11,"Initial Difficulty Score for free routines ranges from 0.0 to what?","5.0","10.0","15.0","20.0","10.0","4.2.1"
"Chapter 11: Artistic Events - Regional Test",AE,12,"Judges give a presentation score between 0.0 and what for free routines?","5.0","10.0","15.0","20.0","10.0","4.2.3.1"
